,file_name,rw,Al2O3_Al1_Biso,Al2O3_Al2_Biso,Al2O3_Al3_Biso,Al2O3_O1_Biso,Al2O3_a,Al2O3_c,Al2O3_delta2,Al2O3_psize,Al2O3_scale,NiO_Ni0_Biso,NiO_O1_Biso,NiO_a,NiO_delta2,NiO_psize,NiO_scale,Ni_Ni0_Biso,Ni_a,Ni_delta2,Ni_psize,Ni_scale,mtime,dt,t / s,T_avg / °C,H,He,N2,CH4,H2O,CO,O2,CO2
10,azint_UC1_Al2O3_0001_scan0011_pilatus_rm_Ni,0.39401096,0.527684175,2.23319105,1.0531746,1.73793548,5.63029585,7.8230792,2.6970695,51.5507219,0.28030658,0.882142614,1.3034934,4.15359803,1.9075668,23.9240518,0.123335957,,,,,,,2022-01-22 23:32:23,312.0,,,,,,,,,
11,azint_UC1_Al2O3_0001_scan0012_pilatus_rm_Ni,0.38998699,0.537064747,2.41133404,1.05273909,1.68085559,5.63011286,7.82319033,2.63358221,50.8526319,0.283878059,0.880516001,1.29905615,4.15391082,2.02001787,24.1508288,0.121453191,,,,,,,2022-01-22 23:32:54,343.0,,,,,,,,,
12,azint_UC1_Al2O3_0001_scan0013_pilatus_rm_Ni,0.39369355,0.509002666,2.18329478,1.02305433,1.74326909,5.6315569,7.82217504,2.70930684,51.5232148,0.280822736,0.870311962,1.26962245,4.15416818,2.13523173,23.951638,0.122130547,,,,,,,2022-01-22 23:33:25,374.0,,,,,,,,,
13,azint_UC1_Al2O3_0001_scan0014_pilatus_rm_Ni,0.39222266,0.497429399,2.1751948,1.16086781,1.6875556,5.6307177,7.82605616,2.67821742,51.4973779,0.2814201,0.927120277,1.29871937,4.15391015,1.9138689,24.3612128,0.123238637,,,,,,,2022-01-22 23:33:56,405.0,,,,,,,,,
14,azint_UC1_Al2O3_0001_scan0015_pilatus_rm_Ni,0.39557739,0.499181103,2.18703073,1.07329525,1.73924302,5.63086657,7.82474068,2.70387559,52.0594668,0.279754558,0.895867318,1.29758251,4.15436384,2.06544973,24.0853207,0.123176313,,,,,,,2022-01-22 23:34:27,436.0,,,,,,,,,
15,azint_UC1_Al2O3_0001_scan0016_pilatus_rm_Ni,0.40064089,0.519381039,1.81751233,1.08821771,2.05896478,5.63243683,7.82057629,2.93856493,55.9243465,0.28037134,0.931993314,1.29615488,4.15386063,2.7297612,26.0844035,0.112092224,,,,,,,2022-01-22 23:34:58,467.0,,,,,,,,,
16,azint_UC1_Al2O3_0001_scan0017_pilatus_rm_Ni,0.395722,0.568131067,2.36013855,1.06495613,1.75217145,5.63147944,7.82449519,2.71413189,52.2075573,0.283541016,0.921166065,1.31920857,4.15447922,2.0021828,24.2493094,0.123662783,,,,,,,2022-01-22 23:35:29,498.0,,,,,,,,,
17,azint_UC1_Al2O3_0001_scan0018_pilatus_rm_Ni,0.39698132,0.563517106,2.44714736,1.04883907,1.75356261,5.63170647,7.8253655,2.72141286,51.4361403,0.285882735,0.886424576,1.35500011,4.15612038,1.93533281,23.8688489,0.123617823,,,,,,,2022-01-22 23:36:01,530.0,,,,,,,,,
18,azint_UC1_Al2O3_0001_scan0019_pilatus_rm_Ni,0.39957461,0.593567614,2.4126687,1.02203087,1.76227132,5.63177403,7.82503391,2.73813329,52.0200003,0.284096719,0.911532627,1.36212073,4.15608022,1.91010766,24.1414816,0.123914005,,,,,,,2022-01-22 23:36:32,561.0,,,,,,,,,
19,azint_UC1_Al2O3_0001_scan0020_pilatus_rm_Ni,0.39578379,0.551807157,2.3087578,1.06148262,1.81475598,5.63306832,7.82330221,2.71573628,52.7018778,0.28587385,0.904144384,1.35119147,4.15656319,2.2287478,24.6167602,0.120629633,,,,,,,2022-01-22 23:37:03,592.0,,,,,,,,,
20,azint_UC1_Al2O3_0001_scan0021_pilatus_rm_,0.39807487,0.546058397,2.36682084,1.10246663,1.74486206,5.63284893,7.82417128,2.71957366,53.651943,0.282103657,0.932764542,1.4016987,4.15694007,2.00616457,24.563241,0.123710785,1.36274403,3.562444,0.0175003147,0.237491392,1.46917932,,2022-01-22 23:37:34,623.0,,,,,,,,,
21,azint_UC1_Al2O3_0001_scan0022_pilatus_rm_,0.39679295,0.598557775,2.39822117,1.02890639,1.80194911,5.63266552,7.82654784,2.72244382,51.0787792,0.288610555,0.933169448,1.38853077,4.15762144,2.25368361,24.3277157,0.122975943,1.23112344,3.34657124,0.798503754,0.58587063,0.75652503,,2022-01-22 23:38:05,654.0,,,,,,,,,
22,azint_UC1_Al2O3_0001_scan0023_pilatus_rm_Ni,0.40705423,0.557921988,2.50903882,1.08133894,1.73300576,5.63306406,7.82578507,2.75044458,52.5419347,0.283360461,0.95649498,1.47901725,4.15777859,2.00398086,24.1576075,0.12614927,,,,,,,2022-01-22 23:38:37,686.0,,,,,,,,,
23,azint_UC1_Al2O3_0001_scan0024_pilatus_rm_Ni,0.39840394,0.616931569,2.53995139,1.04165727,1.81433331,5.63271764,7.82701636,2.73281323,52.3958593,0.288674592,0.986203792,1.58909349,4.15758325,2.31191354,25.5140167,0.121675605,,,,,,,2022-01-22 23:39:08,717.0,,,,,,,,,
24,azint_UC1_Al2O3_0001_scan0025_pilatus_rm_Ni,0.40163226,0.591207439,2.44217771,1.10112457,1.82557836,5.63436051,7.82542327,2.74245428,53.4456608,0.287195741,1.00266129,1.48131189,4.15778063,2.13447175,25.3623876,0.123242122,,,,,,,2022-01-22 23:39:39,748.0,,,,,,,,,
25,azint_UC1_Al2O3_0001_scan0026_pilatus_rm_Ni_NiO,0.72823715,0.366699454,2.6799556,1.73217314,1.91663796,5.62813335,7.88055797,2.89830887,46.0531666,0.206341201,,,,,,,,,,,,,2022-01-22 23:44:27,1036.0,,,,,,,,,
26,azint_UC1_Al2O3_0001_scan0027_pilatus_rm_NiO,0.54221585,0.0299718839,0.507868896,0.865813783,0.605270288,5.68393759,7.67082235,1.9326747,17.6529956,0.567213031,,,,,,,0.474350454,3.56716667,3.5414911,111.669924,0.483792479,,2022-01-22 23:46:12,1141.0,,,,,,,,,
27,azint_UC1_Al2O3_0001_scan0028_pilatus_rm_Ni,0.48901154,0.374859871,2.0615903,1.1595343,1.79197014,5.63280791,7.83965519,2.79891762,51.0974923,0.482562987,1.08973098,1.44812987,4.15670734,2.68640316,26.6058005,0.203471677,,,,,,,2022-01-22 23:47:31,1220.0,,,,,,,,,
28,azint_UC1_Al2O3_0001_scan0029_pilatus_rm_NiO_Ni,0.71757341,0.275336719,2.46996043,2.26388393,1.91094104,5.63597883,7.85386883,3.99255602,53.2128494,0.133257288,,,,,,,,,,,,,2022-01-22 23:48:31,1280.0,,,,,,,,,
29,azint_UC1_Al2O3_0001_scan0030_pilatus_rm_,0.4088126,0.475428035,1.88006934,1.19398078,1.85838923,5.63300497,7.8323575,2.62630186,53.7614937,0.223659801,1.00844156,1.42267792,4.15778021,2.01024147,24.264216,0.106031577,0.060974646,3.59717554,0.000320642794,0.122814723,0.31551789,,2022-01-22 23:49:14,1323.0,,,,,,,,,
30,azint_UC1_Al2O3_2_0001_scan0001_pilatus_rm_Al2O3,0.70032512,,,,,,,,,,0.309395676,6.30280806,4.31411485,0.0570985244,14.0004945,0.200190064,0.451840132,3.56631016,0.44300144,130.061991,0.245789191,,2022-01-23 00:03:06,2155.0,,,,,,,,,
31,azint_UC1_Al2O3_2_0001_scan0002_pilatus_rm_Ni_NiO,1.0019685,0.0215771223,0.0201750233,0.0202474697,0.0218603632,5.61110415,7.70360776,2.99707836,9.99985384,0.000906963733,,,,,,,,,,,,,2022-01-23 00:03:47,2196.0,,,,,,,,,
32,azint_UC1_Al2O3_2_0001_scan0003_pilatus_rm_Ni,0.53422295,0.350093218,1.89846803,1.05245013,1.65182202,5.63511722,7.8280679,2.74245567,44.9042083,0.460526232,0.829788098,0.846219136,4.15097161,3.03027686,26.2412359,0.160645864,,,,,,,2022-01-23 00:04:21,2230.0,,,,,,,,,
33,azint_UC1_Al2O3_2_0001_scan0004_pilatus_rm_Ni_NiO,0.71904657,0.150047119,1.25281611,2.41095999,2.45087554,5.64085981,7.83058396,2.9465163,50.0226985,0.143270691,,,,,,,,,,,,,2022-01-23 00:04:50,2259.0,,,,,,,,,
34,azint_UC1_Al2O3_2_0001_scan0005_pilatus_rm_Ni,0.44991674,0.398844487,2.34186714,1.2029403,1.62093143,5.63275102,7.81393476,2.31474827,49.4648402,0.355207047,0.78468961,1.36518698,4.15307503,2.63393388,24.5066831,0.140361872,,,,,,,2022-01-23 00:06:57,2386.0,,,,,,,,,
35,azint_UC1_Al2O3_2_0001_scan0006_pilatus_rm_Ni,0.55745706,0.877514677,3.32051326,0.381382808,1.95442217,5.6346525,7.8204942,2.97951938,45.3582042,1.1551114,0.850391115,0.943786553,4.1510684,3.81794746,28.3928269,0.34296806,,,,,,,2022-01-23 00:09:08,2517.0,,,,,,,,,
36,azint_UC1_Al2O3_2_0001_scan0007_pilatus_rm_Ni_NiO,0.65118824,0.304466121,1.68511049,2.08484835,2.19087522,5.63568746,7.84534662,2.75125785,46.1864782,0.148681297,,,,,,,,,,,,,2022-01-23 00:11:24,2653.0,,,,,,,,,
37,azint_UC1_Al2O3_2_0001_scan0008_pilatus_rm_NiO,0.6655763,0.300616923,1.77312973,2.11014948,2.14688273,5.61893047,7.88640767,2.78118393,44.0169088,0.139101418,,,,,,,0.02,3.50536787,3.0,0.505858642,1.06648968,,2022-01-23 00:12:07,2696.0,,,,,,,,,
38,azint_UC1_Al2O3_2_0001_scan0012_pilatus_rm_Ni_NiO,0.665922,0.264524828,0.0600199424,1.72867909,2.89449382,5.64423684,7.82823072,2.94777893,46.9172469,0.133887388,,,,,,,,,,,,,2022-01-23 00:14:29,2838.0,,,,,,,,,
39,azint_UC1_Al2O3_2_0001_scan0013_pilatus_rm_Ni_NiO,0.67768744,0.157306191,0.380557074,1.99367068,2.73042815,5.63830024,7.84364169,2.9522163,46.8935915,0.134318668,,,,,,,,,,,,,2022-01-23 00:16:48,2977.0,,,,,,,,,
40,azint_UC1_Al2O3_2_0002_scan0001_pilatus_rm_Ni,0.38651274,0.549934485,2.46933396,0.925390648,1.65836385,5.63030448,7.82479371,2.59496749,49.789111,0.295161611,0.790949279,1.22497407,4.15356165,2.33756645,23.8448711,0.127987708,,,,,,,2022-01-23 00:25:15,3484.0,30.0,,,,,,,,
41,azint_UC1_Al2O3_2_0002_scan0002_pilatus_rm_Ni,0.38518192,0.443438889,2.0500382,1.05242094,1.59563379,5.63145407,7.82510975,2.58376726,50.2645256,0.287754255,0.811997717,1.14052821,4.15259516,2.0698861,23.6234356,0.1306204,,,,,,,2022-01-23 00:25:45,3514.0,30.0,,,,,,,,
42,azint_UC1_Al2O3_2_0002_scan0003_pilatus_rm_Ni,0.38244317,0.493274647,2.09769411,1.0264148,1.69468512,5.63207463,7.82562665,2.54635236,50.1544627,0.294118165,0.818267484,1.17744061,4.15317163,2.08906482,24.1389885,0.127987956,,,,,,,2022-01-23 00:26:15,3544.0,29.89,,,,,,,,
43,azint_UC1_Al2O3_2_0002_scan0004_pilatus_rm_Ni,0.38400105,0.516991928,2.16811575,1.00279645,1.68314635,5.63170193,7.82587308,2.49071866,49.8214752,0.295410269,0.817410205,1.17664319,4.1538616,2.06966928,24.1665294,0.127840024,,,,,,,2022-01-23 00:26:47,3576.0,30.06,,,,,,,,
44,azint_UC1_Al2O3_2_0002_scan0005_pilatus_rm_,0.38381831,0.516096198,2.06878932,0.988757616,1.72624692,5.63160449,7.82901677,2.51729631,48.0415842,0.299259071,0.814384425,1.21529543,4.1539184,1.95185977,23.6143672,0.129735183,9.9450328e-05,3.57157847,2.9812108,0.30294409,0.180024574,,2022-01-23 00:27:18,3607.0,32.17,,,,,,,,
45,azint_UC1_Al2O3_2_0002_scan0006_pilatus_rm_Ni,0.39013718,0.504949754,2.20751443,1.0667292,1.65486764,5.63270472,7.82625741,2.62652587,50.9687451,0.290507803,0.853468521,1.23024376,4.15323363,2.20180435,24.5964353,0.127317387,,,,,,,2022-01-23 00:27:49,3638.0,39.09,,,,,,,,
46,azint_UC1_Al2O3_2_0002_scan0007_pilatus_rm_Ni,0.38762217,0.514556912,2.18898515,1.01983936,1.67956573,5.63239636,7.82739784,2.57271722,50.4511386,0.292690732,0.840750942,1.20325478,4.15416138,2.08483975,24.1212728,0.12881375,,,,,,,2022-01-23 00:28:20,3669.0,44.24,,,,,,,,
47,azint_UC1_Al2O3_2_0002_scan0008_pilatus_rm_Ni,0.38757116,0.512842294,2.08904431,1.00612858,1.76030905,5.63274268,7.82695464,2.57766968,50.4547232,0.295159361,0.866986241,1.23456955,4.15434339,2.02636116,24.1411877,0.130775415,,,,,,,2022-01-23 00:28:52,3701.0,49.43,,,,,,,,
48,azint_UC1_Al2O3_2_0002_scan0009_pilatus_rm_Ni,0.38728795,0.529375474,2.1942415,1.02158077,1.7060993,5.63254163,7.82783074,2.56604234,50.2648945,0.295445388,0.856898588,1.26370785,4.15455123,2.13226323,24.1494917,0.129733988,,,,,,,2022-01-23 00:29:22,3731.0,54.6,,,,,,,,
49,azint_UC1_Al2O3_2_0002_scan0010_pilatus_rm_Ni,0.38686743,0.525366489,2.27020325,1.00013421,1.75400832,5.63359244,7.82665244,2.58453401,50.2268559,0.299214514,0.854015822,1.27655515,4.1550128,2.09609342,24.2835055,0.128583082,,,,,,,2022-01-23 00:29:54,3763.0,59.8,,,,,,,,
50,azint_UC1_Al2O3_2_0002_scan0011_pilatus_rm_,0.38738002,0.529250617,2.19862692,0.974451016,1.76985943,5.6337381,7.82676977,2.57192828,50.4827712,0.297811268,0.888740072,1.31570257,4.15527005,2.0596161,24.2229713,0.131283828,2.89257904,3.705798,1.77306868,0.740929328,1.57091865,,2022-01-23 00:30:25,3794.0,65.03,,,,,,,,
51,azint_UC1_Al2O3_2_0002_scan0012_pilatus_rm_Ni,0.40291326,0.460696251,1.04485559,0.581861979,2.23541825,5.63754143,7.8149176,2.94121833,60.9852878,0.264031131,0.819900262,1.13137891,4.15162065,2.56696664,25.3638703,0.120091686,,,,,,,2022-01-23 00:30:56,3825.0,70.5,,,,,,,,
52,azint_UC1_Al2O3_2_0002_scan0013_pilatus_rm_Ni,0.4039067,0.665215897,1.39381779,0.453809857,2.12530081,5.63653198,7.81974229,2.94126103,53.2848348,0.276872575,0.866330169,1.21561464,4.15270199,1.96777594,25.0008358,0.126511405,,,,,,,2022-01-23 00:31:27,3856.0,75.37,,,,,,,,
53,azint_UC1_Al2O3_2_0002_scan0014_pilatus_rm_Ni,0.3890797,0.559340514,2.30593886,0.987087203,1.77571382,5.6340401,7.82893351,2.59809919,50.3566232,0.300124316,0.877475328,1.33326514,4.15624821,2.11810948,24.2505564,0.130295656,,,,,,,2022-01-23 00:31:58,3887.0,80.5,,,,,,,,
54,azint_UC1_Al2O3_2_0002_scan0015_pilatus_rm_Ni,0.39148792,0.550951048,2.39465517,0.963010003,1.75820679,5.63456439,7.82746596,2.64962847,50.98051,0.29778744,0.899270368,1.33546946,4.15648153,2.15995742,24.3832736,0.130698337,,,,,,,2022-01-23 00:32:29,3918.0,85.74,,,,,,,,
55,azint_UC1_Al2O3_2_0002_scan0016_pilatus_rm_Ni,0.38789342,0.569229524,2.39082306,1.04738755,1.73609721,5.63418343,7.82960388,2.57843749,50.4431957,0.302967462,0.900678944,1.38283933,4.15748143,1.88697134,24.3632889,0.13166837,,,,,,,2022-01-23 00:33:01,3950.0,91.02,,,,,,,,
56,azint_UC1_Al2O3_2_0002_scan0017_pilatus_rm_Ni,0.38854335,0.537523841,2.30662936,1.0541806,1.76328046,5.63487244,7.82883814,2.5793579,51.1267373,0.300425387,0.926320328,1.37779046,4.15717582,1.90969248,24.3831292,0.132406513,,,,,,,2022-01-23 00:33:32,3981.0,96.43,,,,,,,,
57,azint_UC1_Al2O3_2_0002_scan0018_pilatus_rm_Ni,0.3917807,0.56468079,2.23936681,0.986268736,1.81844144,5.63434426,7.8299574,2.63387098,50.6229298,0.30140361,0.907192208,1.3221674,4.15710165,1.90712525,24.1535062,0.132160082,,,,,,,2022-01-23 00:34:03,4012.0,101.45,,,,,,,,
58,azint_UC1_Al2O3_2_0002_scan0019_pilatus_rm_Ni,0.39450642,0.554678168,2.24557266,1.06659001,1.80268852,5.63501895,7.8293734,2.64818066,51.2013499,0.300301,0.903861417,1.38765573,4.1581427,1.8710531,23.9746054,0.133230042,,,,,,,2022-01-23 00:34:34,4043.0,106.41,,,,,,,,
59,azint_UC1_Al2O3_2_0002_scan0020_pilatus_rm_Ni,0.39124494,0.536566558,2.15564657,1.06555655,1.84017681,5.63609507,7.82864582,2.65810746,52.4718532,0.300905249,0.949730869,1.36470824,4.15727795,1.93802195,25.5527878,0.129151404,,,,,,,2022-01-23 00:35:05,4074.0,111.74,,,,,,,,
60,azint_UC1_Al2O3_2_0002_scan0021_pilatus_rm_Ni,0.39566068,0.534334108,1.78895902,1.15233946,2.06933508,5.63576649,7.83047346,2.94668843,52.5741656,0.303004945,0.883249436,1.38461786,4.15808312,1.50451871,24.7851212,0.126354964,,,,,,,2022-01-23 00:35:36,4105.0,116.75,,,,,,,,
61,azint_UC1_Al2O3_2_0002_scan0022_pilatus_rm_Ni,0.39021224,0.586199599,2.46115005,0.992127235,1.83627923,5.63519834,7.83034351,2.62301352,51.0611416,0.30479153,0.930357348,1.42089017,4.159517,1.88798271,24.2681739,0.132952732,,,,,,,2022-01-23 00:36:07,4136.0,122.44,,,,,,,,
62,azint_UC1_Al2O3_2_0002_scan0023_pilatus_rm_Ni,0.39422528,0.581605074,2.16576382,0.975931718,1.91393233,5.63611447,7.83000246,2.67083638,52.2715403,0.30088472,0.973089777,1.43393275,4.15825853,2.05562968,25.2068283,0.131457659,,,,,,,2022-01-23 00:36:39,4168.0,127.46,,,,,,,,
63,azint_UC1_Al2O3_2_0002_scan0024_pilatus_rm_Ni,0.39365941,0.568523656,2.16095046,1.0256471,1.91376298,5.63649376,7.82942462,2.67399328,51.856362,0.303193234,0.960625513,1.46222632,4.16015578,1.94996199,24.3897094,0.13386669,,,,,,,2022-01-23 00:37:10,4199.0,132.67,,,,,,,,
64,azint_UC1_Al2O3_2_0002_scan0025_pilatus_rm_Ni,0.39615172,0.594760306,2.38700339,1.06810607,1.84582709,5.63615428,7.83032756,2.66165402,51.5282371,0.304846622,0.962316023,1.48299821,4.16061309,1.9938706,24.307756,0.133790217,,,,,,,2022-01-23 00:37:41,4230.0,137.57,,,,,,,,
65,azint_UC1_Al2O3_2_0002_scan0026_pilatus_rm_Ni,0.39754663,0.577727736,2.46436619,1.02690523,1.81222512,5.63691401,7.83017633,2.68298499,51.7215743,0.302204267,0.941903916,1.47257202,4.1607683,1.9814355,24.3984444,0.132642865,,,,,,,2022-01-23 00:38:12,4261.0,143.14,,,,,,,,
66,azint_UC1_Al2O3_2_0002_scan0027_pilatus_rm_Ni,0.39742903,0.581928564,2.34031324,1.09723736,1.82173189,5.63683105,7.83172411,2.66167334,51.8270681,0.302353775,0.971080539,1.46985056,4.16035097,1.81088224,24.3946048,0.134715746,,,,,,,2022-01-23 00:38:43,4292.0,147.94,,,,,,,,
67,azint_UC1_Al2O3_2_0002_scan0028_pilatus_rm_,0.39729431,0.547494396,1.82244747,1.21525861,2.02824028,5.63618725,7.83728105,2.94515025,51.8963238,0.304013326,0.932997816,1.54604404,4.16090968,1.40381432,24.6442168,0.129157739,0.0690825365,3.41973594,3.91266246,0.58201453,1.30331007,,2022-01-23 00:39:14,4323.0,153.25,,,,,,,,
68,azint_UC1_Al2O3_2_0002_scan0029_pilatus_rm_Ni,0.39554328,0.5867316,2.44313013,1.08574022,1.85813558,5.63772568,7.83059482,2.6533939,51.585571,0.306597115,0.958843805,1.53139957,4.16218244,1.80656111,24.2320949,0.134128045,,,,,,,2022-01-23 00:39:46,4355.0,153.98,,,,,,,,
69,azint_UC1_Al2O3_2_0002_scan0030_pilatus_rm_Ni,0.39957386,0.603631546,2.47953328,1.15410033,1.77805029,5.63761907,7.83248566,2.68631893,51.7998599,0.303298065,0.971125047,1.55236948,4.16178156,1.76091415,24.2782137,0.134915921,,,,,,,2022-01-23 00:40:17,4386.0,153.96,,,,,,,,
70,azint_UC1_Al2O3_2_0002_scan0031_pilatus_rm_Ni,0.40223042,0.634310428,1.65241352,0.862553605,2.22186661,5.63864915,7.83041838,2.94592773,52.6814085,0.300458486,0.98036298,1.49061689,4.16063117,1.41946392,25.1209383,0.130926094,,,,,,,2022-01-23 00:40:48,4417.0,154.18,,,,,,,,
71,azint_UC1_Al2O3_2_0002_scan0032_pilatus_rm_Ni,0.39799128,0.580466806,2.33963032,1.14853312,1.81783772,5.63840998,7.83153941,2.67935279,52.3202226,0.302139113,1.01844027,1.56681077,4.16240036,1.8823242,24.455912,0.135714326,,,,,,,2022-01-23 00:41:19,4448.0,154.02,,,,,,,,
72,azint_UC1_Al2O3_2_0002_scan0033_pilatus_rm_Ni,0.39491645,0.593919423,2.42896091,1.11084807,1.91566475,5.64090101,7.82586331,2.67668739,56.5129488,0.299783627,1.06313956,1.62999491,4.1604586,2.0537768,26.5777934,0.12998503,,,,,,,2022-01-23 00:41:50,4479.0,153.76,,,,,,,,
73,azint_UC1_Al2O3_2_0002_scan0034_pilatus_rm_Ni,0.39902375,0.614120145,2.51248258,1.08847079,1.89326312,5.64082667,7.82467423,2.73374155,58.671344,0.292265009,1.04866144,1.65013264,4.16200877,1.96981436,25.0653591,0.135853863,,,,,,,2022-01-23 00:42:22,4511.0,154.2,,,,,,,,
74,azint_UC1_Al2O3_2_0002_scan0035_pilatus_rm_Ni,0.39505765,0.622391297,2.54395029,1.12735488,1.89242041,5.6388844,7.83361755,2.66677172,51.7030369,0.308687303,1.01496805,1.69266993,4.16391276,1.7775494,24.4620254,0.135419414,,,,,,,2022-01-23 00:42:53,4542.0,153.9,,,,,,,,
75,azint_UC1_Al2O3_2_0002_scan0036_pilatus_rm_Ni,0.39589802,0.637200229,2.55333001,1.04708822,1.94701308,5.6402314,7.83083549,2.69543331,52.2823547,0.30893492,1.02211642,1.59665569,4.16434379,1.91887052,24.7708741,0.133793105,,,,,,,2022-01-23 00:43:24,4573.0,153.89,,,,,,,,
76,azint_UC1_Al2O3_2_0002_scan0037_pilatus_rm_Ni,0.41045504,0.646887976,1.11013443,0.624167272,2.8179691,5.64139283,7.8276072,2.94627405,53.9449218,0.303870956,1.02017201,1.80178995,4.16156438,1.7135825,24.9161208,0.13364826,,,,,,,2022-01-23 00:43:55,4604.0,153.96,,,,,,,,
77,azint_UC1_Al2O3_2_0002_scan0038_pilatus_rm_Ni,0.39691762,0.615494409,2.48065119,1.10053859,1.9478893,5.64027595,7.83339408,2.70670234,52.7333334,0.306903844,1.04513137,1.66728195,4.16420373,1.88334364,25.1159369,0.133669483,,,,,,,2022-01-23 00:44:26,4635.0,154.09,,,,,,,,
78,azint_UC1_Al2O3_2_0002_scan0039_pilatus_rm_Ni,0.39870563,0.600090344,1.92583863,1.17115072,2.24669546,5.64148273,7.83122321,2.94898587,54.8829573,0.308331237,1.04131631,1.71532374,4.16322457,1.94842681,26.6149589,0.124656428,,,,,,,2022-01-23 00:44:57,4666.0,153.98,,,,,,,,
79,azint_UC1_Al2O3_2_0002_scan0040_pilatus_rm_Ni,0.40394722,0.522146129,1.41888923,1.14557801,2.36699016,5.64112529,7.83414091,2.94786491,53.406649,0.304668672,1.02671756,1.63734254,4.16356424,2.15755548,24.9087515,0.127519706,,,,,,,2022-01-23 00:45:29,4698.0,153.79,,,,,,,,
80,azint_UC1_Al2O3_2_0002_scan0041_pilatus_rm_Ni,0.39695813,0.668964772,2.70747432,1.05982763,1.93786134,5.64076005,7.83458623,2.69371574,51.4005404,0.311207115,1.0399632,1.72175032,4.1648901,1.79704506,24.7834222,0.133970764,,,,,,,2022-01-23 00:46:00,4729.0,154.12,,,,,,,,
